group,locus,nsam,nsites,nsites_ug,S,Singletons,NMut,nhap,hapdiv,WallsB,WallsQ,ThetaW,ThetaPi,TajD,FuLiDStar,FuLiFStar,Rmin,rho87,pTajD,pnhap,phapdiv,pWallsB,pWallsQ,pFuLiDStar,pFuLiFStar
sauropsida,5-Corythopis-delalandi-542.fas,5,542,542,2,2,2,2,0.4,1,1,0.00177122,0.00147601,-0.972558,-0.972558,-0.954404,0,1.31181,0.453,0.43,0.245,0.43,0.43,0.453,0.453
sauropsida,5-Euphagus-cyanocephalus-672.fas,5,672,672,3,3,3,4,0.9,0,0,0.00214286,0.00178571,-1.04849,-1.04849,-1.05189,0,10000,0,1,1,1,1,0.371,0.371
sauropsida,5-Larus-crassirostris-699.fas,5,699,699,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307
sauropsida,5-Mabuya-delalandii-498.fas,5,498,498,3,1,3,3,0.7,0,0,0.00289157,0.00321285,0.698995,0.698995,0.701259,0,17.5089,0.633,0.798,0.55,1,1,0.848,0.848
sauropsida,5-Mabuya-stangeri-498.fas,5,498,498,2,1,2,3,0.7,0,0,0.00192771,0.00200803,0.243139,0.243139,0.238601,0,10000,0.782,1,0.734,1,1,0.782,0.782
sauropsida,5-Mabuya-stangeri-502.fas,5,501,501,6,0,6,2,0.6,1,1,0.0057485,0.00718563,1.7183,1.7183,1.78053,0,1.78331,1,0.106,0.106,0.106,0.122,1,1
sauropsida,5-Myiobius-atricaudus-542.fas,5,542,542,4,3,4,3,0.7,0.666667,0.75,0.00354244,0.00332103,-0.410175,-0.410175,-0.417506,0,2.55803,0.494,0.638,0.445,0.325,0.325,0.55,0.494
sauropsida,5-Norops-auratus-1430.fas,5,1430,1430,10,9,10,4,0.9,0.444444,0.6,0.00335664,0.00293706,-0.894499,-0.894499,-0.943343,0,8.68383,0.299,0.76,0.76,0.46,0.48,0.299,0.299
sauropsida,5-Pionopsitta-caica-622.fas,5,622,622,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307
sauropsida,5-Pitangus-sulphuratus-542.fas,5,542,542,2,2,2,3,0.7,0,0,0.00177122,0.00147601,-0.972558,-0.972558,-0.954404,0,10000,0.482,1,0.773,1,1,0.482,0.482
sauropsida,5-Polystictus-superciliaris-542.fas,5,542,542,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307,3.58E-307
sauropsida,5-Thamnophilus-punctatus-418.fas,5,418,418,20,0,20,2,0.6,1,1,0.0229665,0.0287081,1.84814,1.84814,1.98007,0,0.638245,0.99,0.008,0.008,0.008,0.009,1,1
sauropsida,5-Tolmomyias-sulphurescens-542.fas,5,542,542,10,1,10,3,0.8,0.888889,0.9,0.00885609,0.0107011,1.49083,1.49083,1.57224,0,2.69373,0.969,0.294,0.294,0.061,0.135,0.969,0.969
sauropsida,6-Acridotheres-tristis-802.fas,6,802,802,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,nan,nan,nan,nan,nan,nan,nan
sauropsida,6-Branta-canadensis-634.fas,6,634,634,5,2,5,6,1,0,0,0.00345391,0.00357518,0.196505,0.36206,0.348029,1,10000,0.644,1,1,1,1,0.73,0.644
sauropsida,6-Casiornis-fuscus-542.fas,6,542,542,8,7,8,4,0.8,0.285714,0.5,0.0064643,0.00528905,-1.0718,-1.06267,-1.14524,0,5.95486,0.204,0.636,0.428,0.675,0.592,0.241,0.204
sauropsida,6-Catharus-bicknelli-697.fas,6,697,697,1,1,1,2,0.333333,NA,NA,0.000628345,0.00047824,-0.933021,-0.950146,-0.964731,4294967295,10000,0.549,1,0.549,6.9628e-315,6.9628e-315,0.549,0.549
sauropsida,6-Elaenia-flavogaster-542.fas,6,542,542,4,4,4,5,0.933333,0,0,0.00323215,0.00246002,-1.29503,-1.32453,-1.39621,0,10000,0.209,1,1,1,1,0.209,0.209
sauropsida,6-Elaenia-obscura-542.fas,6,542,542,63,5,63,6,1,0.790323,0.873016,0.0509063,0.0603936,1.19837,1.48294,1.56057,1,0.0104553,0.931,1,1,0.029,0.043,0.976,0.966
sauropsida,6-Elaphe-dione-513.fas,6,513,513,18,12,19,5,0.933333,0.0625,0.117647,0.0162206,0.0149448,-0.490342,-0.3414,-0.406421,1,52.7899,0.401,0.736,0.736,0.953,0.953,0.47,0.421
sauropsida,6-Euscarthmus-meloryphus-542.fas,6,542,542,2,2,2,2,0.333333,1,1,0.00161607,0.00123001,-1.13197,-1.15529,-1.19511,0,1.19E-07,0.362,0.313,0.159,0.313,0.313,0.362,0.362
sauropsida,6-Hemitriccus-margaritaceiventer-542.fas,6,542,542,2,2,2,2,0.333333,1,1,0.00161607,0.00123001,-1.13197,-1.15529,-1.19511,0,1.19E-07,0.358,0.342,0.165,0.342,0.342,0.358,0.358
sauropsida,6-Junco-hyemalis-697.fas,6,697,697,2,2,2,2,0.333333,1,1,0.00125669,0.00095648,-1.13197,-1.15529,-1.19511,0,1.19E-07,0.369,0.352,0.182,0.352,0.352,0.369,0.369
sauropsida,6-Mionectes-rufiventris-542.fas,6,542,542,6,5,6,5,0.933333,0,0,0.00484822,0.00405904,-0.931688,-0.908155,-0.976605,0,10000,0.272,0.956,0.956,1,1,0.322,0.272
sauropsida,6-Myiobius-barbatus-542.fas,6,542,542,2,0,2,4,0.866667,0,0,0.00161607,0.00221402,1.75324,1.27971,1.43414,1,10000,1,1,1,1,1,1,1
sauropsida,6-Myiodynastes-maculatus-542.fas,6,542,542,7,3,7,3,0.6,0.5,0.714286,0.00565626,0.00578106,0.128407,0.291048,0.275067,0,0.782797,0.611,0.318,0.159,0.373,0.299,0.677,0.611
sauropsida,6-Myiopagis-viridicata-542.fas,6,542,542,3,2,3,4,0.866667,0,0,0.00242411,0.00221402,-0.447361,-0.374809,-0.410152,0,10000,0.482,1,1,1,1,0.567,0.482
sauropsida,6-Pteroglossus-inscriptus-622.fas,6,622,622,6,0,6,2,0.533333,1,1,0.00422466,0.00514469,1.24649,1.55068,1.58905,0,0.148776,0.943,0.08,0.068,0.08,0.091,1,0.969
sauropsida,6-Rostratula-benghalensis-650.fas,6,650,650,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,nan,nan,nan,nan,nan,nan,nan
sauropsida,6-Tyrannus-melancholicus-542.fas,6,542,542,16,5,16,4,0.8,0.6,0.6875,0.0129286,0.0152522,1.11148,0.680376,0.839592,0,5.54534,0.906,0.344,0.202,0.157,0.249,0.789,0.789
sauropsida,7-Lanius-schach-1143.fas,7,1143,1143,13,11,13,6,0.952381,0.0833333,0.153846,0.00464228,0.00358289,-1.24974,-1.22937,-1.35597,0,42.5021,0.094,0.937,0.937,0.952,0.952,0.167,0.129
sauropsida,7-Lanius-schach-1176.fas,7,1176,1176,10,8,10,6,0.952381,0.111111,0.2,0.00347078,0.00275348,-1.10893,-1.05316,-1.16817,0,10000,0.133,0.962,0.962,0.888,0.888,0.218,0.172
sauropsida,7-Larus-saundersi-675.fas,7,675,675,1,0,1,2,0.47619,NA,NA,0.000604686,0.000705467,0.559017,0.953463,0.91788,4294967295,10000,0.804,1,0.804,0,0,1,0.804
sauropsida,7-Mabuya-spinalis-506.fas,7,505,505,24,6,25,5,0.904762,0.272727,0.478261,0.0202061,0.0244224,1.18283,0.813928,0.98982,0,5.72761,0.914,0.365,0.365,0.491,0.457,0.834,0.832
sauropsida,7-Myiarchus-swainsoni-542.fas,7,542,542,4,4,4,3,0.52381,0.333333,0.5,0.00301228,0.00210859,-1.43414,-1.5099,-1.61727,0,0.391588,0.169,0.499,0.201,0.582,0.582,0.169,0.169
sauropsida,7-Phaeomyias-murina-542.fas,7,542,542,7,6,7,7,1,0.166667,0.285714,0.00527148,0.00404147,-1.20798,-1.19333,-1.30643,0,10000,0.164,1,1,0.796,0.796,0.218,0.164
sauropsida,7-Tolmomyias-flaviventris-542.fas,7,542,542,3,1,3,4,0.809524,0,0,0.00225921,0.00228431,0.0503117,0.38925,0.338324,0,10000,0.484,1,0.966,1,1,0.792,0.605
sauropsida,8-Casiornis-rufus-542.fas,8,542,542,13,3,13,7,0.964286,0.0833333,0.153846,0.00925051,0.0101476,0.491067,0.733717,0.751564,0,12.5694,0.708,0.967,0.967,0.931,0.931,0.806,0.734
sauropsida,8-Cnemotriccus-fuscatus-542.fas,8,542,542,4,2,4,4,0.75,0,0,0.00284631,0.00270163,-0.221747,-0.176369,-0.205413,1,13.7328,0.442,0.85,0.671,1,1,0.556,0.442
sauropsida,8-Mabuya-delalandii-502.fas,8,501,501,8,3,8,4,0.75,0.428571,0.5,0.00615848,0.0071286,0.761769,0.218642,0.381577,0,9.38083,0.824,0.447,0.306,0.317,0.448,0.66,0.657
sauropsida,8-Myiarchus-tyrannulus-542.fas,8,542,542,1,0,1,2,0.428571,NA,NA,0.000711577,0.000790722,0.333503,0.887794,0.825279,4294967295,10000,0.723,1,0.723,0.00E+00,0.00E+00,1,0.723
sauropsida,8-Suiriri-suiriri-542.fas,8,542,542,44,41,44,4,0.642857,0.883721,0.931818,0.0313094,0.0212836,-1.71754,-1.82676,-2.00868,1,1.19E-07,0.013,0.018,0.003,0,0.001,0.023,0.017
sauropsida,8-Tympanocryptis-pinguicolla-1686.fas,8,1686,1686,1001,999,1007,7,0.964286,0.991952,0.99598,0.230353,0.150186,-1.91405,-2.10815,-2.30549,0,1.19E-07,0,0.054,0.054,0,0,0,0
sauropsida,9-Anolis-marmoratus-482.fas,9,482,482,81,44,89,9,1,0.111111,0.219178,0.0679386,0.0599355,-0.607233,-0.321265,-0.439043,12,43.9481,0.3,1,1,0.93,0.886,0.375,0.343
sauropsida,9-Chlorospingus-ophthalmicus-674.fas,9,674,674,68,6,69,7,0.944444,0.0606061,0.104478,0.0376671,0.0434388,0.786612,1.29954,1.32011,12,29.3488,0.835,0.272,0.272,0.983,0.991,0.987,0.966
sauropsida,9-Elaenia-cristata-542.fas,9,542,542,2,0,2,2,0.388889,1,1,0.0013577,0.00143501,0.195897,1.063,0.94854,0,0.399961,0.496,0.25,0.135,0.25,0.25,1,0.624
sauropsida,9-Leptopogon-amaurocephalus-542.fas,9,542,542,25,5,25,8,0.972222,0.125,0.24,0.0169713,0.0195777,0.764167,0.820708,0.904918,5,8.20464,0.809,0.936,0.936,0.854,0.805,0.862,0.828
sauropsida,9-Mabuya-fogoensis-506.fas,9,505,505,44,6,45,8,0.972222,0.5,0.604651,0.0327865,0.039989,1.11689,1.10304,1.24222,1,0.924051,0.915,0.812,0.812,0.116,0.149,0.948,0.946
sauropsida,9-Myiarchus-ferox-542.fas,9,542,542,5,3,5,5,0.833333,0,0,0.00339425,0.00328003,-0.142541,-0.597274,-0.543676,0,116.091,0.524,0.94,0.866,1,1,0.406,0.406
sauropsida,92-Branta-canadensis-697.fas,92,697,697,16,8,16,16,-0.553273,0.0666667,0.125,0.00450861,0.00151808,-1.87724,-2.45949,-2.678,3,1.19E-07,0.008,0.993,0,0.602,0.602,0.024,0.013
polychaeta,10-Palola-sp.-655.fas,10,655,655,235,99,344,8,0.955556,0.0137931,0.0273973,0.185647,0.177439,-0.221271,0.447643,0.316497,60,84.493,0.453,0.046,0.046,1,1,0.691,0.622
polychaeta,22-Streblospio-gynobranchiata-499.fas,22,499,499,43,23,46,21,0.995671,0,0,0.0252881,0.0239787,-0.203576,-1.2836,-1.11438,7,13.5795,0.477,1,1,1,1,0.129,0.153
polychaeta,26-Pectinaria-auricoma-378.fas,26,378,378,15,10,15,14,0.849231,0,0,0.0103991,0.00448514,-1.97412,-2.21811,-2.50667,1,10000,0.009,1,0.569,1,1,0.046,0.024
polychaeta,27-Paralvinella-pandorae-485.fas,27,485,485,32,24,34,23,0.980057,0.137931,0.2,0.0181877,0.00832966,-2.01431,-2.80987,-3.00584,3,30.2371,0.014,1,0.999,0.437,0.539,0.022,0.02
polychaeta,27-Streblospio-benedicti-499.fas,27,499,499,105,87,117,27,1,0.44086,0.595745,0.0608312,0.0327892,-1.79825,-3.31861,-3.32974,10,1.19E-07,0.017,1,1,0.017,0.018,0.008,0.01
polychaeta,291-Owenia-fusiformis-506.fas,291,506,506,157,41,215,146,0.973931,0.0446429,0.079646,0.067997,0.0908065,1.0348,-0.599925,0.275745,48,1.73317,0.89,1,0.518,0.513,0.529,0.315,0.69
polychaeta,31-Branchipolynoe-symmytilida-652.fas,31,652,652,33,18,33,31,1,0,0,0.0126693,0.00766541,-1.42872,-1.94935,-2.09872,4,962.316,0.053,1,1,1,1,0.043,0.035
polychaeta,346-Pectinaria-koreni-586.fas,346,586,586,139,48,162,125,0.910882,0.137931,0.230769,0.043046,0.0594406,1.15298,-2.8322,-0.948552,34,1.19E-07,0.888,1,0.004,0.105,0.106,0.011,0.17
polychaeta,36-Lysidice-collaris-287.fas,36,287,287,7,6,8,6,0.307937,0.2,0.333333,0.00672198,0.00190255,-2.0909,-2.66294,-2.9098,0,1.19E-07,0.001,0.452,0.013,0.234,0.234,0.023,0.008
polychaeta,39-group-diversicolor group sp.-565.fas,39,565,565,106,28,119,39,1,0.0430108,0.0851064,0.0498165,0.0417255,-0.599392,0.0623705,-0.205426,29,11.6011,0.31,1,1,0.889,0.887,0.533,0.438
polychaeta,40-Alvinella-pompejana-648.fas,40,648,648,48,25,49,40,1,0,0,0.0177775,0.0111428,-1.32797,-2.12772,-2.1965,7,32.6566,0.074,1,1,1,1,0.041,0.038
polychaeta,45-Hediste-diversicolor-320.fas,45,320,320,64,27,77,21,0.914141,0.0196078,0.0384615,0.0550286,0.0551641,0.00879837,-1.01377,-0.766909,15,7.77948,0.584,0.311,0.078,0.948,0.948,0.163,0.24
polychaeta,5-Drosophila-angor-1500.fas,5,1500,1500,152,15,154,5,1,0.85906,0.933333,0.04928,0.0594,1.56456,1.59548,1.73033,0,0.884209,0.981,1,1,0.01,0.009,0.989,0.984
polychaeta,5-Phragmatopoma-virgini-604.fas,5,604,604,14,9,15,5,1,0,0,0.0119205,0.011755,-0.101543,3.46E-16,-0.021638,3,147.927,0.522,1,1,1,1,0.582,0.522
polychaeta,56-Lysidice-ninetta-287.fas,56,287,287,88,5,112,15,0.785065,0.323077,0.545455,0.0849566,0.113537,1.1833,1.74165,1.82903,7,1.08116,0.917,0.001,0,0.038,0.018,0.999,0.985
polychaeta,8-Marenzelleria-neglecta-632.fas,8,632,632,20,15,20,8,1,0.0526316,0.1,0.0122049,0.0100023,-0.939583,-1.11352,-1.19344,1,10000,0.2,1,1,0.978,0.978,0.181,0.177
polychaeta,8-Nereimyra-punctata-633.fas,8,633,633,4,4,4,4,0.642857,0,0,0.00243712,0.00157978,-1.5347,-1.66525,-1.79736,0,10000,0.114,0.838,0.356,1,1,0.114,0.114
polychaeta,9-Hediste-diversicolor-319.fas,9,319,319,32,21,32,9,1,0.193548,0.3125,0.036909,0.0301289,-0.923678,-0.940715,-1.05085,4,2.8309,0.21,1,1,0.653,0.666,0.227,0.211
polychaeta,9-Nereimyra-woodsholea-633.fas,9,633,633,17,12,17,6,0.833333,0.125,0.235294,0.0098814,0.0076356,-1.10641,-1.09284,-1.22753,2,11.9849,0.151,0.607,0.273,0.833,0.806,0.187,0.154
octocephala,10-Dorosoma-cepedianum-652.fas,10,652,652,6,0,6,5,0.822222,0,0,0.00325294,0.00429448,1.3246,1.34614,1.50428,3,28.8465,0.916,0.834,0.741,1,1,1,0.947
octocephala,10-Gasterosteus-aculeatus-652.fas,10,652,652,7,5,7,6,0.844444,0,0,0.00379509,0.0032379,-0.621868,-1.13149,-1.12962,0,87.3427,0.33,0.933,0.726,1,1,0.245,0.243
octocephala,10-Hiodon-tergisus-652.fas,10,652,652,7,3,7,6,0.866667,0,0,0.00379509,0.00354465,-0.279514,-0.126019,-0.183892,0,50.1467,0.42,0.927,0.833,1,1,0.55,0.422
octocephala,10-Lampetra-appendix-652.fas,10,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1.6765E+243,1.6765E+243,1.6765E+243,1.6765E+243,1.6765E+243,1.6765E+243,1.6765E+243
octocephala,10-Lepomis-macrochirus-652.fas,10,652,652,3,0,3,3,0.688889,0.5,0.666667,0.00162647,0.00180641,0.398039,1.15417,1.08457,0,25.3913,0.679,0.555,0.667,0.393,0.393,1,0.788
octocephala,10-Merluccius-hubbsi-652.fas,10,652,652,2,2,2,3,0.377778,0,0,0.00108431,0.000613497,-1.40085,-1.58662,-1.71902,0,10000,0,1,0.305,1,1,0.222,0
octocephala,10-Moxostoma-erythrurum-652.fas,10,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,3.6781E+228,3.6781E+228,3.6781E+228,3.6781E+228,3.6781E+228,3.6781E+228,3.6781E+228
octocephala,10-Moxostoma-valenciennesi-652.fas,10,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,1.5371E+171,1.5371E+171,1.5371E+171,1.5371E+171,1.5371E+171,1.5371E+171,1.5371E+171
octocephala,10-Notropis-bifrenatus-652.fas,10,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,7.381E+170,7.381E+170,7.381E+170,7.381E+170,7.381E+170,7.381E+170,7.381E+170
octocephala,10-Semotilus-corporalis-652.fas,10,652,652,2,2,2,3,0.377778,0,0,0.00108431,0.000613497,-1.40085,-1.58662,-1.71902,0,10000,0,1,0.309,1,1,0.207,0
octocephala,10-Squalus-acanthias-652.fas,10,652,652,14,13,14,7,0.866667,0.230769,0.357143,0.00759019,0.00453306,-1.84469,-2.0608,-2.26032,0,2.30968E-07,0.018,0.845,0.463,0.53,0.508,0.033,0.009
octocephala,11-Couesius-plumbeus-652.fas,11,652,652,5,3,5,5,0.618182,0,0,0.00261823,0.00184049,-1.13813,-0.763842,-0.966618,0,7.65461,0.105,0.901,0.278,1,1,0.337,0.162
octocephala,11-Esox-americanus-652.fas,11,652,652,17,0,17,2,0.436364,1,1,0.00890198,0.0113776,1.24543,1.53081,1.65163,0,1.19209E-07,0.922,0,0,0,0.001,1,0.989
octocephala,11-Esox-masquinongy-652.fas,11,652,652,1,1,1,2,0.181818,NA,NA,0.000523646,0.000278862,-1.1285,-1.28946,-1.39919,4294967295,10000,0,1,0.37,nan,nan,0.4,0.4
octocephala,11-Esox-niger-652.fas,11,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,nan,nan,nan,nan,nan,nan,nan
octocephala,11-Fundulus-diaphanus-652.fas,11,652,652,3,3,3,4,0.490909,0,0,0.00157094,0.000836587,-1.59996,-1.87398,-2.03086,0,10000,0,1,0.276,1,1,0.118,0.118
octocephala,11-Labidesthes-sicculus-652.fas,11,652,652,6,1,6,8,0.927273,0,0,0.00314188,0.00356944,0.538733,0.737794,0.776062,1,40.3994,0.728,1,1,1,1,0.862,0.747
octocephala,11-Micropterus-salmoides-652.fas,11,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,nan,nan,nan,nan,nan,nan,nan
octocephala,11-Moxostoma-anisurum-652.fas,11,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,nan,nan,nan,nan,nan,nan,nan
octocephala,11-Notropis-buchanani-652.fas,11,652,652,5,3,5,5,0.781818,0,0,0.00261823,0.00217513,-0.648434,-0.763842,-0.82853,0,10000,0.257,0.904,0.742,1,1,0.33,0.267
octocephala,11-Noturus-gyrinus-652.fas,11,652,652,1,0,1,2,0.436364,NA,NA,0.000523646,0.000669269,0.671353,0.77552,0.839514,4294967295,10000,0.745,1,0.745,nan,nan,1,0.745
octocephala,11-Phoxinus-neogaeus-652.fas,11,652,652,13,2,13,5,0.818182,0.75,0.846154,0.0068074,0.00875627,1.25305,0.879559,1.10282,0,1.31321,0.931,0.285,0.319,0.023,0.034,0.896,0.895
octocephala,11-Pungitius-pungitius-652.fas,11,652,652,9,5,10,8,0.927273,0,0,0.00523646,0.00535416,0.0956781,-0.477861,-0.376218,1,28.2174,0.61,0.982,0.956,1,1,0.404,0.395
octocephala,11-Tinca-tinca-652.fas,11,652,652,8,0,8,2,0.436364,1,1,0.00418917,0.00535416,1.15059,1.39532,1.50657,0,1.19209E-07,0.901,0.014,0.021,0.014,0.015,1,0.959
octocephala,12-Carpiodes-cyprinus-652.fas,12,652,652,3,0,3,3,0.681818,0,0,0.00152365,0.00244004,1.97294,1.10492,1.49553,0,8.70868,0.985,0.497,0.675,1,1,1,0.985
octocephala,12-Cyprinella-spiloptera-652.fas,12,652,652,7,5,7,8,0.893939,0,0,0.00355518,0.00248652,-1.1763,-1.32028,-1.45559,0,10000,0.109,1,0.972,1,1,0.163,0.106
octocephala,12-Ictalurus-punctatus-652.fas,12,652,652,8,2,8,7,0.878788,0.142857,0.25,0.00406306,0.00485685,0.780165,0.426017,0.586877,2,16.0177,0.813,0.935,0.865,0.722,0.722,0.756,0.713
octocephala,12-Moxostoma-hubbsi-652.fas,12,652,652,0,0,0,1,0,NA,NA,0,0,NA,NA,NA,NA,NA,9.3222E+218,9.3222E+218,9.3222E+218,9.3222E+218,9.3222E+218,9.3222E+218,9.3222E+218
octocephala,12-Notropis-heterodon-652.fas,12,652,652,1,1,1,2,0.166667,NA,NA,0.000507882,0.000255624,-1.14053,-1.32974,-1.44334,4294967295,10000,0,1,0.37,nan,nan,0.37,0.37
